Year,Alloteuthis spp,Cephalopoda,Eledone cirrhosa,Eledone moschata,Eledone spp,Illex coindetii,"Loliginidae, Ommastrephidae",Loligo spp,Loligo vulgaris,Octopodidae,Octopus vulgaris,Sepia officinalis,"Sepiidae, Sepiolidae",Todarodes sagittatus,Todaropsis eblanae,Total
1950,0,0,0,0,0,0,200,2700,0,1900,3700,2000,5700,0,0,16200
1951,0,0,0,0,0,0,500,2600,0,1700,3700,1500,5800,0,0,15800
1952,0,0,0,0,0,0,400,2900,0,1700,3800,1600,5900,0,0,16300
1953,0,0,0,0,0,0,300,2800,0,2100,3800,2000,6300,0,0,17300
1954,0,0,0,0,0,0,200,3400,0,1700,5000,2100,7500,0,0,19900
1955,0,0,0,0,0,0,100,4000,0,1400,5800,2000,8400,0,0,21700
1956,0,0,0,0,0,0,200,4100,0,1400,5600,2600,8300,0,0,22200
1957,0,0,0,0,0,0,100,4500,0,1700,6200,2600,8400,0,0,23500
1958,0,0,0,0,0,0,100,4400,0,1400,8900,2500,10700,0,0,28000
1959,0,0,0,0,0,0,100,4800,0,600,8000,3800,10900,0,0,28200
1960,0,0,0,0,0,0,100,6800,0,1000,7300,5000,9400,0,0,29600
1961,0,0,0,0,0,0,100,7500,0,1200,7600,5000,10400,0,0,31800
1962,0,0,0,0,1300,1300,100,6200,0,1600,6000,4600,10000,0,0,31100
1963,0,0,0,0,1400,1400,100,6300,0,1900,5800,4800,9400,0,0,31100
1964,0,0,0,0,1800,1700,100,7500,0,2500,9100,5400,16000,0,0,44100
1965,0,0,0,0,1900,2500,200,9500,0,2700,9100,8500,17800,0,0,52200
1966,0,0,0,0,2300,2900,0,9800,0,3400,10700,3800,17000,0,0,49900
1967,0,0,0,0,2200,2400,400,8800,0,3700,9300,3900,19000,0,0,49700
1968,0,0,0,0,2300,2500,300,7800,0,3900,10100,5300,17600,0,0,49800
1969,0,0,0,0,2000,2400,200,7500,0,4600,9700,3800,17300,0,0,47500
1970,0,1069,0,0,3080,2343,549,8303,0,4889,8567,830,14957,0,0,44587
1971,0,1110,0,0,2740,2241,562,8749,0,5116,8294,735,15111,0,0,44658
1972,0,1839,0,0,3459,2276,282,7926,0,5816,9823,1055,17407,0,0,49883
1973,0,1718,0,0,2650,2464,321,6643,0,5102,9147,1893,14326,0,0,44264
1974,0,1455,0,0,2681,2679,393,6984,6,5060,10054,1677,15286,0,0,46275
1975,0,0,0,0,2612,2693,219,7131,5,5600,13046,1999,13719,0,0,47024
1976,0,0,0,0,2497,3025,305,6701,3,6361,13054,3597,12732,0,0,48275
1977,0,0,0,0,2369,4047,318,6905,5,5747,13353,2317,12612,0,0,47673
1978,0,0,0,0,3134,2946,333,7676,5,4957,13799,2322,11100,0,0,46272
1979,0,0,0,0,2375,2779,211,7778,3,4082,12639,2444,11541,0,0,43852
1980,0,0,0,0,2070,2871,203,7909,3,5857,14095,2455,16197,0,0,51660
1981,0,0,0,0,2032,3623,255,6681,1,5675,13142,2652,13041,0,0,47102
1982,0,0,0,0,2586,3115,275,5496,1,6841,12812,3464,14808,0,0,49398
1983,0,0,0,0,4310,3920,315,6250,2,7828,14098,3061,15490,18,0,55292
1984,0,0,0,0,2724,5730,260,7203,1,7323,15313,4042,14089,21,0,56706
1985,0,0,0,0,3671,7002,256,7780,18,8664,16119,5484,16719,10,0,65723
1986,0,0,0,0,2748,7739,249,8130,5,7977,18281,6062,17155,57,0,68403
1987,0,0,0,0,2870,7412,324,8297,1,6466,20418,8219,13683,23,0,67713
1988,0,585,0,0,3562,7237,313,10604,0,6775,26033,12619,15618,0,0,83346
1989,0,449,0,0,2470,8243,565,11161,1,6180,22590,14193,11055,38,0,76945
1990,0,91,0,0,2972,8215,563,10588,1,6250,20029,13038,10650,74,0,72471
1991,0,76,0,0,3366,7418,590,8196,1,6333,20848,8616,12312,75,0,67831
1992,0,620,0,0,3632,7800,1092,7936,4,6747,23350,10380,10103,49,0,71713
1993,0,863,0,0,3542,6451,1008,7632,4,6842,19266,9833,9995,11,0,65447
1994,0,505,0,0,3928,5737,1135,8382,4,7369,16117,9762,15716,21,0,68676
1995,0,481,0,0,2500,4789,1211,7985,2,7908,16526,7737,13387,19,0,62545
1996,0,533,0,0,1939,4672,1690,7591,4,6830,17209,7712,10859,227,0,59266
1997,0,541,0,0,2258,2614,1392,6579,6,6131,19346,10745,10291,236,0,60139
1998,0,411,0,0,1758,3995,1648,4690,5,6714,16743,8502,9619,208,0,54293
1999,0,870,0,0,1433,2090,1521,4662,4,6969,13393,10650,8962,146,0,50700
2000,0,1135,0,0,1990,2558,1792,4490,6,9359,14557,8984,8662,340,0,53873
2001,0,1162,0,0,2357,2377,1214,4499,10,7881,15378,9944,9107,120,0,54049
2002,0,699,0,0,2192,2113,1237,4425,5,7022,15967,12324,7092,1217,0,54293
2003,0,2536,0,0,1920,1789,1458,3877,7,1600,14258,11764,7042,114,0,46365
2004,0,712,0,0,2232,2029,1700,4655,6,7066,15715,10218,6940,120,0,51393
2005,0,927,0,0,8293,5161,1605,5723,65,10169,12857,9826,12055,175,0,66856
2006,0,936,0,0,8139,4414,1588,6004,49,9614,11686,10293,14708,122,0,67553
2007,0,2218,0,0,9632,3928,1805,5456,53,9811,10664,10901,18880,102,0,73450
2008,0,830,0,0,7704,4503,2151,5436,35,8802,8131,8803,15010,202,0,61607
2009,0,28,0,0,8331,4226,2303,5760,34,8310,8947,9131,13873,204,0,61147
2010,0,53,0,0,7027,3771,2323,5593,64,7887,10205,10140,11624,304,0,58991
2011,0,86,0,0,6233,3278,2872,5083,194,9297,10627,10551,9649,320,0,58190
2012,0,31,0,0,5137,2676,1983,4673,144,5073,10215,12129,8483,216,0,50760
2013,0,508,0,0,5739,3110,1766,4274,139,9203,9927,11110,8358,315,0,54449
2014,0,391,0,0,6293,2667,1473,5071,261,8413,10017,9060,8696,250,0,52592
2015,243,347,1805,2818,1198,2457,1740,4213,168,8135,9374,8635,8699,252,58,50142
2016,254,417,1652,2669,966,3027,1449,4464.33,236,7085.19,9515,9454.86,8563,413,37,50202.38
2017,2,323,2265,3290,910,3905,2023,4935.34,102,8325.77,9972,11226.25,9056,1237,186,57758.36
2018,210,1349,3022,2386,999,4568,1509,5181,94,7676,12026,11848,9108,575,289,60840
