Year,Aristaeomorpha foliacea,Aristeidae,Aristeus antennatus,Crangon crangon,Metapenaeus monoceros,Natantia,Palaemon adspersus,Palaemon serratus,Parapenaeus longirostris,Penaeus japonicus,Penaeus kerathurus,Penaeus spp,Plesionika edwardsii,Plesionika martia,Total
1950,200,0,0,100,0,2500,0,0,7800,0,100,0,0,0,10700
1951,100,0,0,100,0,2600,0,0,8600,0,100,0,0,0,11500
1952,200,0,0,0,0,2600,0,0,6900,0,100,0,0,0,9800
1953,200,0,0,200,0,2800,0,0,7000,0,100,0,0,0,10300
1954,200,0,200,100,0,3500,0,0,6400,0,100,0,0,0,10500
1955,100,0,200,100,0,3600,0,0,6800,0,300,0,0,0,11100
1956,100,0,100,100,0,3700,0,0,7200,0,400,0,0,0,11600
1957,100,0,400,100,0,6200,0,0,8700,0,300,0,0,0,15800
1958,100,0,700,100,0,6100,0,0,8900,0,300,0,0,0,16200
1959,100,0,700,100,0,5800,0,0,8500,0,300,0,0,0,15500
1960,100,0,450,100,0,6500,0,0,8150,0,400,0,0,0,15700
1961,100,0,800,100,0,8700,0,0,9400,0,400,0,0,0,19500
1962,500,0,700,300,0,8200,0,0,6400,0,600,0,0,0,16700
1963,400,0,500,200,0,8300,0,0,6200,0,500,0,0,0,16100
1964,600,0,700,200,0,8000,0,0,8000,0,500,0,0,0,18000
1965,600,0,800,200,0,6000,0,0,7900,0,800,0,0,0,16300
1966,900,0,1000,300,0,4400,0,0,7000,0,500,0,0,0,14100
1967,1000,0,1500,400,0,5000,0,0,7100,0,500,0,0,0,15500
1968,1300,0,1000,500,0,3400,0,100,7000,0,600,0,0,0,13900
1969,1200,0,1000,300,0,2300,0,0,6800,0,400,0,0,0,12000
1970,1084,0,900,96,0,982,0,0,7043,0,508,0,0,0,10613
1971,710,0,800,212,0,959,0,0,6705,0,504,0,0,0,9890
1972,600,0,747,87,0,2665,0,2,7442,0,772,0,0,0,12315
1973,500,0,1164,68,0,2633,0,4,8998,0,692,0,0,0,14059
1974,0,0,1929,838,0,2328,0,3,10052,0,979,0,0,0,16129
1975,0,0,1396,504,0,1808,0,97,10108,0,1064,0,0,0,14977
1976,0,0,1192,1127,0,2164,0,3,9121,0,1146,0,0,0,14753
1977,506,0,1370,143,0,1742,0,10,9683,0,855,0,0,0,14309
1978,451,0,1499,525,0,2174,0,0,9349,0,1132,0,0,0,15130
1979,513,0,1206,628,0,2798,0,0,8676,0,735,0,0,0,14556
1980,0,0,1500,141,0,3254,0,0,8877,0,1386,0,0,0,15158
1981,0,0,1750,163,0,3165,0,1,10104,0,1208,0,0,0,16391
1982,0,0,2010,300,0,3024,0,1,10659,0,2104,0,0,0,18098
1983,0,0,2025,200,0,6802,0,4,13646,0,3926,0,0,0,26603
1984,0,0,2041,193,0,7884,0,1,19217,0,2658,0,0,0,31994
1985,0,0,2060,333,0,9509,0,5,21517,0,2258,0,0,0,35682
1986,0,0,3523,333,0,6838,0,0,17613,0,3529,0,0,0,31836
1987,0,0,4091,436,0,8684,0,4,15597,0,4406,0,0,0,33218
1988,0,0,933,389,0,10217,0,5,17347,0,4375,0,0,0,33266
1989,0,0,1530,397,0,13313,0,6,13922,0,2377,0,0,0,31545
1990,0,0,1450,338,0,11332,0,1,23189,0,2061,0,0,0,38371
1991,0,0,1634,312,0,7664,0,1,20869,0,1401,0,0,0,31881
1992,0,0,1734,305,0,8685,0,1,19612,0,2101,0,0,0,32438
1993,0,0,1569,277,0,10563,0,5,13361,0,2280,0,0,0,28055
1994,0,0,1630,250,0,10023,0,0,13774,0,2931,0,0,0,28608
1995,0,2551,1333,230,0,8879,0,37,9816,0,4504,0,0,0,27350
1996,0,2258,1428,222,0,7955,0,40,9101,0,4380,0,0,0,25384
1997,0,2406,1359,150,0,10148,0,35,10119,84,5978,0,0,0,30279
1998,0,1231,1672,100,0,10848,0,89,8127,0,5458,0,0,0,27525
1999,100,2128,1332,87,0,10540,0,9,9261,0,5950,0,0,0,29407
2000,40,4463,1904,0,0,8851,0,0,12323,0,7692,0,0,0,35273
2001,0,1833,2209,4,757,8711,0,0,11100,121,4951,0,0,0,29686
2002,33,1768,2011,139,1607,11324,0,97,10133,111,4179,0,0,0,31402
2003,37,2409,2063,88,2078,10918,0,26,9489,98,4675,0,0,0,31881
2004,65,1546,2393,39,2582,10841,0,0,7702,10,5901,0,0,0,31079
2005,45,3174,2413,120,1564,11888,0,23,16326,105,6662,0,0,0,42320
2006,36,3623,2454,113,1325,9234,0,15,16451,34,6417,0,0,0,39702
2007,23,3207,2210,99,1111,7780,0,11,13483,61,6588,0,23,0,34596
2008,73,2423,2605,82,69,14574,0,31,13586,101,4758,0,37,0,38339
2009,79,2957,2363,128,477,14925,0,22,15569,141,5422,7,58,0,42148
2010,79,3231,1987,135,258,14707,33,16,15178,229,6205,2,83,5,42148
2011,90,2906,2132,156,509,15494,34,17,14936,4,6412,5,27,7,42729
2012,85,3050,1991,136,301,11713,63,13,15368,156,5908,3,80,10,38877
2013,63,3406,1780,87,335,9950,124,13,16052,52,6842,1,100,10,38815
2014,50,2838,1728,25,935,11333,124,15,15870,52,6757,1,75,10,39813
2015,2646,0,2892,45,1516,11030,243,21,18283,52,8015,2,98,20,44863
2016,2818,0,2684.89,48.11,1278,11147,550,96,19955.87,16,6962,5,115,17,45692.87
2017,2977,0,3199.34,58.31,480,12732,808,42,23950.88,13,4949,6,58,25,49298.53
2018,2564,0,4441,21,309,8421,517,8,25911,13,3062,0,455,29,45751
