Year,Alloteuthis spp,Cephalopoda,Eledone cirrhosa,Eledone moschata,Eledone spp,Illex coindetii,"Loliginidae, Ommastrephidae",Loligo vulgaris,Octopodidae,"Sepiidae, Sepiolidae",Todarodes sagittatus,Todaropsis eblanae,Total
1950,0,0,0,0,0,0,200,0,1900,5700,0,0,7800
1951,0,0,0,0,0,0,500,0,1700,5800,0,0,8000
1952,0,0,0,0,0,0,400,0,1700,5900,0,0,8000
1953,0,0,0,0,0,0,300,0,2100,6300,0,0,8700
1954,0,0,0,0,0,0,200,0,1700,7500,0,0,9400
1955,0,0,0,0,0,0,100,0,1400,8400,0,0,9900
1956,0,0,0,0,0,0,200,0,1400,8300,0,0,9900
1957,0,0,0,0,0,0,100,0,1700,8400,0,0,10200
1958,0,0,0,0,0,0,100,0,1400,10700,0,0,12200
1959,0,0,0,0,0,0,100,0,600,10900,0,0,11600
1960,0,0,0,0,0,0,100,0,1000,9400,0,0,10500
1961,0,0,0,0,0,0,100,0,1200,10400,0,0,11700
1962,0,0,0,0,1300,1300,100,0,1600,10000,0,0,14300
1963,0,0,0,0,1400,1400,100,0,1900,9400,0,0,14200
1964,0,0,0,0,1800,1700,100,0,2500,16000,0,0,22100
1965,0,0,0,0,1900,2500,200,0,2700,17800,0,0,25100
1966,0,0,0,0,2300,2900,0,0,3400,17000,0,0,25600
1967,0,0,0,0,2200,2400,400,0,3700,19000,0,0,27700
1968,0,0,0,0,2300,2500,300,0,3900,17600,0,0,26600
1969,0,0,0,0,2000,2400,200,0,4600,17300,0,0,26500
1970,0,1069,0,0,3080,2343,549,0,4889,14957,0,0,26887
1971,0,1110,0,0,2740,2241,562,0,5116,15111,0,0,26880
1972,0,1839,0,0,3459,2276,282,0,5816,17407,0,0,31079
1973,0,1718,0,0,2650,2464,321,0,5102,14326,0,0,26581
1974,0,1455,0,0,2681,2679,393,6,5060,15286,0,0,27560
1975,0,0,0,0,2612,2693,219,5,5600,13719,0,0,24848
1976,0,0,0,0,2497,3025,305,3,6361,12732,0,0,24923
1977,0,0,0,0,2369,4047,318,5,5747,12612,0,0,25098
1978,0,0,0,0,3134,2946,333,5,4957,11100,0,0,22475
1979,0,0,0,0,2375,2779,211,3,4082,11541,0,0,20991
1980,0,0,0,0,2070,2871,203,3,5857,16197,0,0,27201
1981,0,0,0,0,2032,3623,255,1,5675,13041,0,0,24627
1982,0,0,0,0,2586,3115,275,1,6841,14808,0,0,27626
1983,0,0,0,0,4310,3920,315,2,7828,15490,18,0,31883
1984,0,0,0,0,2724,5730,260,1,7323,14089,21,0,30148
1985,0,0,0,0,3671,7002,256,18,8664,16719,10,0,36340
1986,0,0,0,0,2748,7739,249,5,7977,17155,57,0,35930
1987,0,0,0,0,2870,7412,324,1,6466,13683,23,0,30779
1988,0,585,0,0,3562,7237,313,0,6775,15618,0,0,34090
1989,0,449,0,0,2470,8243,565,1,6180,11055,38,0,29001
1990,0,91,0,0,2972,8215,563,1,6250,10650,74,0,28816
1991,0,76,0,0,3366,7418,590,1,6333,12312,75,0,30171
1992,0,620,0,0,3632,7800,1092,4,6747,10103,49,0,30047
1993,0,863,0,0,3542,6451,1008,4,6842,9995,11,0,28716
1994,0,505,0,0,3928,5737,1135,4,7369,15716,21,0,34415
1995,0,481,0,0,2500,4789,1211,2,7908,13387,19,0,30297
1996,0,533,0,0,1939,4672,1690,4,6830,10859,227,0,26754
1997,0,541,0,0,2258,2614,1392,6,6131,10291,236,0,23469
1998,0,411,0,0,1758,3995,1648,5,6714,9619,208,0,24358
1999,0,870,0,0,1433,2090,1521,4,6969,8962,146,0,21995
2000,0,1135,0,0,1990,2558,1792,6,9359,8662,340,0,25842
2001,0,1162,0,0,2357,2377,1214,10,7881,9107,120,0,24228
2002,0,699,0,0,2192,2113,1237,5,7022,7092,1217,0,21577
2003,0,2536,0,0,1920,1789,1458,7,1600,7042,114,0,16466
2004,0,712,0,0,2232,2029,1700,6,7066,6940,120,0,20805
2005,0,927,0,0,8293,5161,1605,65,10169,12055,175,0,38450
2006,0,936,0,0,8139,4414,1588,49,9614,14708,122,0,39570
2007,0,2218,0,0,9632,3928,1805,53,9811,18880,102,0,46429
2008,0,830,0,0,7704,4503,2151,35,8802,15010,202,0,39237
2009,0,28,0,0,8331,4226,2303,34,8310,13873,204,0,37309
2010,0,53,0,0,7027,3771,2323,64,7887,11624,304,0,33053
2011,0,86,0,0,6233,3278,2872,194,9297,9649,320,0,31929
2012,0,31,0,0,5137,2676,1983,144,5073,8483,216,0,23743
2013,0,508,0,0,5739,3110,1766,139,9203,8358,315,0,29138
2014,0,391,0,0,6293,2667,1473,261,8413,8696,250,0,28444
2015,243,347,1805,2818,1198,2457,1740,168,8135,8699,252,58,27920
2016,254,417,1652,2669,966,3027,1449,236,7085.19,8563,413,37,26768.19
2017,2,323,2265,3290,910,3905,2023,102,8325.77,9056,1237,186,31624.77
2018,210,1349,3022,2386,999,4568,1509,94,7676,9108,575,289,31785
